"month","battery charged","time taken"
"2023-08",29.8451,1208.6338
"2023-09",34.1169,1753.4156
"2023-10",42.2857,1900.9365
"2023-11",42.8955,2349.5970
"2023-12",32.5172,1501.4943
"2024-01",36.6848,1597.7826
"2024-02",36.7108,1569.0482
"2024-03",39.4250,1744.5750
"2024-04",39.0625,1619.9500
"2024-05",34.8750,1583.0000
