"month","battery down","down time"
"2023-08",29.8592,20551.8592
"2023-09",33.9221,32198.7792
"2023-10",42.4444,40176.6190
"2023-11",42.9552,36977.7463
"2023-12",32.6207,29122.9885
"2024-01",36.5978,27287.4239
"2024-02",36.7952,28935.4458
"2024-03",39.4250,31868.3625
"2024-04",38.6000,30324.8625
"2024-05",35.4516,28443.8710
