"YEAR","MONTH","battery down","down time"
2024,January,36.5978,"07h:34m:47s"
2024,February,36.7952,"08h:02m:15s"
2024,March,39.4250,"08h:51m:08s"
2024,April,38.6000,"08h:25m:24s"
2024,May,35.4516,"07h:54m:03s"
2023,August,29.8592,"05h:42m:31s"
2023,September,33.9221,"08h:56m:38s"
2023,October,42.4444,"11h:09m:36s"
2023,November,42.9552,"10h:16m:17s"
2023,December,32.6207,"08h:05m:22s"
